Meta - Users,Meta - Critics,Game of the year,Name,item_year,Group,Description
8.2,89,,Borderlands 2,2012,Shooter,Gearbox Software
8.8,93,,Divinity: Original Sin II,2019,cRPG,Larian Studios
8.4,87,,Final Fantasy XVI,2023,JRPG,Square Enix
8.3,88,,Assassin's Creed IV: Black Flag,2013,Action,Ubisoft Montreal
9.1,86,,Fallout 2,1998,RPG,Black Isle Studios 
4.7,89,,League of Legends,2009,MOBA,Riot Games
8.5,89,,Titanfall 2,2016,Mech,Respawn Entertainment
8.2,91,,Tony Hawk's Pro Skater 2,2000,Sports,Natsume
7.8,90,,Monster Hunter: World,2018,RPG,Capcom
8.8,91,,Resident Evil 2 (remake),2019,Horror,Capcom
7.5,88,,Mortal Kombat 11,2019,Fighting,NetherRealm Studios
8.7,95,,Persona 5 Royal,2020,RPG,P-Studio
8.5,89,,Dark Souls,2011,Souls,FromSoftware
4.9,78,,Fortnite,2017,Royale,Epic Games
8.3,85,,Fable,2004,RPG,Big Blue Box Studios
6.5,90,,Dota 2,2013,MOBA,Valve
9.1,95,,GTA: San Andreas,2004,Action,Rockstar North
7.4,88,,XCOM 2,2016,Tactical,Firaxis Games
7.9,94,,Call of Duty: Modern Warfare 2,2009,Shooter,Infinity Ward
8.1,88,,Rise of the Tomb Raider,2015,Adventure,Crystal Dynamics
8.8,94,,Batman: Arkham City,2011,Action,Rocksteady Studios
8.1,88,,Dishonored 2,2016,Action,Arkane Lyon
8.8,96,,Uncharted 2: Among Thieves,2009,Adventure,Naughty Dog
6.5,91,Winner,Overwatch,2016,Hero shooter,Blizzard
6.6,89,,Apex Legends,2019,Royale,Respawn Entertainment
9.1,90,,Hollow Knight,2017,Metroidvania,Team Cherry
5.1,82,,Counter Strike 2,2023,Shooter,Valve
8.3,89,,Left 4 Dead 2,2009,Shooter,Valve
8.8,88,,Diablo II,2000,aRPG,Blizzard
8.3,93,,StarCraft II: Wings of Liberty,2010,RTS,Blizzard
7.5,93,,World of Warcraft,2004,MMORPG,Blizzard
8.9,94,,Star Wars: KOTOR,2003,RPG,Obsidian Entertainment
8.7,86,,Star Wars: KOTOR II,2004,RPG,Obsidian Entertainment
8.6,84,,Fallout: New Vegas,2010,RPG,Obsidian Entertainment
8.6,96,,The Elder Scrolls V: Skyrim,2011,RPG,Bethesda
7.8,91,,Shadow of the Colossus,2005,Action,Sony
5.8,93,Winner,The Last of Us Part 2,2020,Adventure,Naughty Dog
8.9,97,,Red Dead Redemption 2,2018,Action,Rockstar Games
7.2,88,,Civilization VI,2016,Strategy,Firaxis Games
9.1,99,,The Legend of Zelda: Ocarina of Time,1998,Adventure,Nintendo
8.3,93,,Minecraft,2011,Sandbox,Mojang Studios
9.1,96,,Half-Life 2,2004,Shooter,Valve
8.4,91,,Metal Gear Solid 3: Snake Eater,2004,Stealth,Konami
9.1,94,Winner,God of War,2018,Action,Santa Monica Studio
9.2,92,,Chrono Trigger,1995,RPG,Square
8.9,95,,Portal 2,2011,Puzzle,Valve
8.9,92,,Bloodborne,2015,Souls,FromSoftware
8.6,94,,BioShock Infinite,2013,Shooter,Irrational Games
9.1,92,Winner,The Witcher 3: Wild Hunt,2015,RPG,CD Projekt Red
8.7,95,,Halo 2,2004,Shooter,Bungie
8.6,93,,Hades,2020,Rogue,Supergiant Games
8.5,97,,GTA V,2013,Action,Rockstar North
8.5,91,,Disco Elysium,2019,RPG,ZA/UM
8.9,96,,Mass Effect 2,2010,Shooter,BioWare
8.9,97,Winner,The Legend of Zelda: Breath of the Wild,2017,Adventure,Nintendo
9,92,,Age Of Empires 2,1999,RTS,Ensemble Studios
9.3,,,Heroes of Might and Magic III,1999,Strategy,New World Computing
1.9,68,,Star Wars: Battlefront 2,2017,Shooter,DICE
9.2,96,Winner,Baldur's Gate 3,2023,cRPG,Larian Studios
9.7,93,Winner,Expedition 33,2025,RPG,Sandfall Interactive
8.7,86,,Command & Conquer: Red Alert 2,2000,RTS,Westwood Pacific
7.3,86,,Cyberpunk 2077,2020,Action,CD Projekt Red
8.3,89,,Deus Ex: Human Revolution,2011,Action,Eidos-Montreal
8.6,94,,Metaphor ReFantazio,2024,JRPG,Studio Zero
7.5,85,,Total War: Three Kingdoms,2019,Strategy,Creative Assembly
5.7,86,,Total War: Warhammer 3,2022,Strategy,Creative Assembly
7.8,78,,"Warhammer 40,000: Rogue Trader",2023,cRPG,Owlcat Games
7.7,85,,Wasteland 3,2020,cRPG,inXile Entertainment
8.5,86,,Dragon Age: Origins,2009,RPG,BioWare
6.1,78,,For Honor,2017,Action,Ubisoft Montreal
8.3,94,Winner,Elden Ring,2022,Souls,FromSoftware
8.4,88,,Mafia,2004,Acion,Illusion Softworks
8.7,82,,Neef for speed: Underground 2,2004,Race,EA Black Box
,,,Path of Exile 2,2025,aRPG,Grinding Gear Games
7.9,84,,Middle-earth: Shadow of Mordor,2014,Action,Monolith Productions
8.6,90,Winner,Sekiro: Shadows Die Twice,2019,Souls,FromSoftware
8.3,80,,Lies of P,2023,Souls,Neowiz
8.7,88,,Kingdome Come: Deliverance II,2025,RPG,Warhorse Studios
6.1,85,Winner,Dragon Age: Inquisition,2014,RPG,BioWare
4.9,86,,PUBG,2017,Royale,PUBG Corporation
8.6,88,,Doom Eternal,2020,Action,id Software
8.3,87,,Ghost of Tsushima,2020,Action,Sucker Punch Productions
8.9,88,Winner,It takes Two,2021,Adventure,Hazelight Studios
8.3,81,,A Plague Tale: Innocence,2019,Adventure,Asobo Studio
8.3,89,,Horizon Zero Dawn,2017,RPG,Guerrilla Games
8.8,93,,Resident Evil 4,2023,Horror,Capcom
8.2,81,Winner,Black Myth: Wukong,2024,Souls,Game Science
9.2,92,,Warcraft III: Reign of Chaos,2002,RTS,Blizzard
8,85,,Rocket League,2015,Sports,Psyonix
7.5,92,,Street Fighter VI,2023,Fighting,Capcom
8.2,91,,Dishonored,2012,Action,Arkane Studios